    menu_id,class_label (ชื่อใน AI),menu_name (ชื่อเมนู),serving_size (ปริมาณ),calories (kcal),protein (g),carbs (g),fat (g),source (ที่มาของข้อมูล)
1,khao_man_gai,ข้าวมันไก่,1 จาน (300g),596,16,60,11,FatSecret Thailand (fatsecret.co.th)
2,pad_thai,ผัดไทยกุ้งสด,1 จาน (250g),577,18,74,24,CalorieDiary (caloriediary.com)
3,kaprao_moo_kai_dao,ข้าวกะเพราหมูสับไข่ดาว,1 จาน (300g),630,25,60,30,FatSecret Thailand (fatsecret.co.th)
4,khao_pad_moo,ข้าวผัดหมูใส่ไข่,1 จาน (300g),557,17,65,20,FatSecret Thailand (fatsecret.co.th)
5,som_tum,ส้มตำไทย,1 จาน (150g),60,3,12,0,CalorieDiary (caloriediary.com)
6,khao_moo_dang,ข้าวหมูแดง,1 จาน (300g),540,20,70,15,FatSecret Thailand (fatsecret.co.th)
7,khao_kha_moo,ข้าวขาหมู,1 จาน (300g),690,22,65,35,CalorieDiary (caloriediary.com)
8,boat_noodles,ก๋วยเตี๋ยวเรือหมูน้ำตก,1 ชาม (250g),357,15,45,10,FatSecret Thailand (fatsecret.co.th)
9,khao_kai_jeaw,ข้าวไข่เจียวหมูสับ,1 จาน (250g),650,20,50,40,CalorieDiary (caloriediary.com)
10,rad_na_moo,ราดหน้าหมู,1 ชาม (300g),397,15,50,12,FatSecret Thailand (fatsecret.co.th)
11,pad_see_ew,ผัดซีอิ๊วหมู,1 จาน (300g),679,20,75,30,CalorieDiary (caloriediary.com)
12,tom_yum_goong,ต้มยำกุ้งน้ำใส,1 ถ้วย (200g),90,15,4,2,FatSecret Thailand (fatsecret.co.th)
13,green_curry_chicken,แกงเขียวหวานไก่,1 ถ้วย (200g),240,15,10,15,CalorieDiary (caloriediary.com)
14,yum_woon_sen,ยำวุ้นเส้นหมูสับ,1 จาน (200g),150,10,20,3,FatSecret Thailand (fatsecret.co.th)
15,larb_moo,ลาบหมู,1 จาน (150g),119,14,5,5,CalorieDiary (caloriediary.com)
16,khao_soi,ข้าวซอยไก่,1 ชาม (300g),390,15,40,18,FatSecret Thailand (fatsecret.co.th)
17,grilled_chicken,ไก่ย่าง,1 ชิ้น (100g),167,25,0,7,CalorieDiary (caloriediary.com)
18,grilled_pork_neck,คอหมูย่าง,1 จาน (100g),200,14,2,15,FatSecret Thailand (fatsecret.co.th)
19,sour_curry_shrimp,แกงส้มผักรวมกุ้ง,1 ถ้วย (200g),80,10,8,1,FatSecret Thailand (fatsecret.co.th)
20,massaman_chicken,มัสมั่นไก่,1 ถ้วย (200g),325,15,20,22,CalorieDiary (caloriediary.com)
